Player,Team,Update,Details,Date
Bruno Fernando,ATL,"Sat, Jan 27, 2024",Out (Back) - Fernando is out for Sunday's (Jan. 28) game against Toronto.,2024-01-29
Mouhamed Gueye,ATL,"Thu, Jan 18, 2024",Out (Back) - The Hawks announced that Gueye will be re-evaluated two-to-three weeks.,2024-01-29
De'Andre Hunter,ATL,"Mon, Dec 25, 2023",Out (Knee) - The Hawks announced that Hunter will be re-evaluated in approximately two weeks.,2024-01-29
Vit Krejci,ATL,"Sat, Jan 20, 2024",Out (Shoulder) - Krejci has yet to appear in a game for Atlanta and remains without a timetable for his return.,2024-01-29
Dejounte Murray,ATL,"Sun, Jan 28, 2024",Out (Hamstring) - Murray is out for Sunday's (Jan. 28) game against Toronto.,2024-01-29
Al Horford,BOS,"Sun, Jan 28, 2024",Day To Day (Neck) - Horford is questionable for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Luke Kornet,BOS,"Sun, Jan 28, 2024",Day To Day (Hamstring) - Kornet is doubtful for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Kristaps Porziņģis,BOS,"Sun, Jan 28, 2024",Day To Day (Ankle) - Porzingis is questionable for Monday's (Jan. 29) game against New Orleans.,2024-01-29
Dorian Finney-Smith,BKN,"Sun, Jan 28, 2024",Out (Ankle) - Finney-Smith is out for Monday's (Jan. 29) game against Utah.,2024-01-29
Dariq Whitehead,BKN,"Sat, Jan 27, 2024",Out For Season (Shin) - Nets coach Jacque Vaughn said Whitehead will undergo season-ending surgery.,2024-01-29
Day'Ron Sharpe,BKN,"Tue, Jan 9, 2024",Out (Knee) - The Nets announced that Sharpe has a hyperextended left knee and will be re-evaluated in approximately two weeks.,2024-01-29
Ben Simmons,BKN,"Sun, Jan 28, 2024",Day To Day (Back) - Simmons is probable for Monday's (Jan. 29) game against Utah.,2024-01-29
LaMelo Ball,CHA,"Sun, Jan 28, 2024",Day To Day (Ankle) - Ball is questionable for Monday's (Jan. 29) game against New York.,2024-01-29
Gordon Hayward,CHA,"Thu, Dec 28, 2023",Out (Calf) - Hayward suffered a left calf strain. He is listed as out and will be reevaluated in two weeks,2024-01-29
Frank Ntilikina,CHA,"Sun, Jan 28, 2024",Day To Day (Hip) - Ntilikina is questionable for Monday's (Jan. 29) game against New York.,2024-01-29
Mark Williams,CHA,"Sun, Jan 7, 2024",Out (Back) - Williams hasn't played since Dec. 8 against Toronto and remains without a timetable to return.,2024-01-29
Lonzo Ball,CHI,"Tue, Nov 7, 2023",Out For Season (Knee) - Ball will miss the 2023-24 season while recovering from surgery.,2024-01-29
Torrey Craig,CHI,"Tue, Dec 19, 2023",Out (Foot) - Bulls announced Craig will be out after being diagnosed with an acute sprain of his right plantar fascia.,2024-01-29
Zach LaVine,CHI,"Fri, Jan 19, 2024","Out (Ankle) - LaVine is expected to miss at least one-to-two weeks with a right ankle sprain, sources tell @TheAthletic @Stadium",2024-01-29
Patrick Williams,CHI,"Sat, Jan 27, 2024",Out (Foot) - Williams is out for Sunday's (Jan. 28) game against Portland.,2024-01-29
Darius Garland,CLE,"Fri, Dec 15, 2023",Out (Jaw) - The Cavaliers announced Garland will miss a few weeks after sustaining a fractured jaw.,2024-01-29
