"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Cam Whitmore","Hou","F","19.6","24","16.5","26.2","6.4","50","0.66","109","0.56","96","0.396","0.576","0.593","11.2","3.8","0.4","0.6","0.3","0.6","15","11.6","15.3","6.2","114.1","106.3"
"","Reggie Jackson","Den","G","33.8","49","23.1","21.6","12.7","62","0.774","294","0.507","174","0.379","0.53","0.549","11.1","2.1","4","0.6","0.2","1.4","13.2","15.1","17.2","7.9","112.2","112"
"","Malik Beasley","Mil","G","27.2","46","29.4","13.5","7.5","18","0.722","111","0.541","281","0.448","0.635","0.639","11.1","4","1.4","0.7","0.1","0.7","15.1","12.5","16.4","5.4","123.2","113.5"
"","Wendell Carter Jr.","Orl","C","24.8","22","25.5","16.8","12.4","59","0.763","109","0.569","60","0.417","0.589","0.626","11.1","6.6","1.6","0.5","0.5","1.1","17.7","12.7","19.3","7.7","124.5","105.5"
"","Isaiah Stewart","Det","F","22.7","35","30.6","15.3","15.2","71","0.746","171","0.544","131","0.374","0.551","0.579","11","6.8","1.7","0.4","0.8","1.5","17.8","12.8","19.6","6.6","111.5","116.4"
"","Keyonte George","Uta","G","20.2","43","24.2","21.4","18","136","0.824","172","0.436","219","0.324","0.464","0.527","11","2.7","4.2","0.4","0.1","2","13.8","15.3","18","8.3","107.7","119.6"
"","Jordan Nwora","Tor","F","25.4","4","15.5","24","9.9","11","0.909","11","0.455","16","0.5","0.63","0.691","11","3","1.8","0.3","0.3","0.8","14","12.8","15.8","10.1","136.3","109.4"
"","Kevin Huerter","Sac","G","25.4","44","24.9","17.3","6.5","36","0.778","155","0.581","247","0.364","0.56","0.572","10.9","3.8","2.7","0.7","0.4","0.6","14.6","13.5","17.3","7.7","119.8","110.5"
"","Jaden McDaniels","Min","F","23.3","38","28.8","15.7","11.5","35","0.771","204","0.608","127","0.37","0.588","0.6","10.9","2.7","1.3","0.9","0.5","1.1","13.6","12.3","14.9","4.7","112.3","103"
"","Herbert Jones","Nor","G","25.3","44","28.5","15","13.1","90","0.856","192","0.573","154","0.396","0.582","0.622","10.9","3.6","2.5","1.1","0.9","1.2","14.5","13.4","17","6.5","123.1","107.7"
"","Mike Conley","Min","G","36.3","43","29.2","14.8","11.6","52","0.923","125","0.464","226","0.442","0.593","0.621","10.8","2.8","6.3","1","0.2","1.1","13.6","17.1","19.9","7.9","133.2","108.1"
"","Talen Horton-Tucker","Uta","G","23.2","32","21.1","23.9","14.2","65","0.8","195","0.456","114","0.333","0.472","0.509","10.8","2.5","4.1","1","0.3","1.6","13.2","14.8","17.3","9.1","107.8","112.4"
"","Daniel Gafford","Was","C","25.3","42","26.2","13.8","14.1","113","0.708","267","0.693","0","0","0.693","0.71","10.7","7.8","1.6","1","2.1","1","18.5","12.3","20.1","7.8","137.7","109.5"
"","Jakob Poeltl","Tor","C","28.3","36","26.5","15.2","18.7","79","0.532","248","0.685","0","0","0.685","0.675","10.6","8.3","2.5","0.7","1.4","1.6","18.9","13.1","21.4","9.1","125.1","106.8"
"","Luke Kennard","Mem","G","27.6","21","24.6","16.6","10.4","19","0.895","39","0.436","132","0.432","0.599","0.619","10.6","3.2","3.1","0.5","0","1","13.8","13.7","16.9","7.7","122.8","114.9"
"","Santi Aldama","Mem","F-C","23.1","36","23.8","19.8","11","56","0.625","162","0.519","168","0.351","0.523","0.536","10.6","5.6","1.8","0.7","0.7","1.1","16.2","12.4","18","8","106.5","109.3"
"","Luguentz Dort","Okc","F","24.8","46","28.5","15.1","10.1","94","0.809","156","0.506","216","0.384","0.547","0.584","10.5","3.8","1.3","0.8","0.7","0.9","14.3","11.8","15.6","5.2","116.5","107.5"
"","Jalen Smith","Ind","F-C","23.9","34","18.1","18.7","11.6","62","0.71","140","0.707","81","0.469","0.706","0.717","10.5","5.6","1.1","0.2","0.6","0.9","16.1","11.6","17.1","8.9","134.5","109.1"
"","Caleb Martin","Mia","F","28.3","31","26.3","18.2","12.2","55","0.764","175","0.48","97","0.381","0.513","0.542","10.4","4.6","2.1","0.7","0.3","1.2","15","12.5","17.1","7.1","108.4","109.7"
"","Jordan Hawkins","Nor","G","21.8","43","21.7","19.8","8.8","72","0.847","125","0.432","237","0.388","0.53","0.565","10.3","2.9","1.4","0.3","0.1","0.8","13.3","11.7","14.7","6.4","113.8","112.4"
"","Dario Saric","Gol","F-C","29.8","44","20.5","19.4","14.7","82","0.854","159","0.553","165","0.412","0.586","0.625","10.2","5.5","2.6","0.6","0.2","1.3","15.7","12.8","18.3","10.3","124.3","108.1"
"","Marvin Bagley III","Det","F","24.9","26","18.4","20.9","13.8","61","0.82","175","0.606","6","0.167","0.594","0.638","10.2","4.5","1","0.2","0.5","1.1","14.7","11.2","15.8","7.8","121.6","116.5"
"","Kentavious Caldwell-Pope","Den","G","31","47","32.4","13","11.4","78","0.91","191","0.513","182","0.379","0.54","0.582","10.1","2.4","2.4","1.4","0.5","1","12.4","12.4","14.8","4.8","116.4","113.5"
"","Derrick Jones Jr.","Dal","F","27","43","25.8","15.5","11.1","76","0.737","160","0.631","169","0.349","0.576","0.6","10.1","3.6","1","0.8","0.8","1","13.7","11.1","14.8","5.1","116.9","114.7"
"","Alex Caruso","Chi","G","29.9","42","26.4","15.4","15","66","0.758","120","0.608","186","0.409","0.611","0.633","10.1","3.6","2.7","1.3","1","1.3","13.7","12.8","16.4","7","121.4","109"
"","Josh Richardson","Mia","G","30.4","38","25.9","16.5","10.1","50","0.94","143","0.545","167","0.353","0.537","0.572","10","2.8","2.5","0.6","0.4","0.9","12.8","12.5","15.3","6.4","115.1","112.3"
"","Patrick Williams","Chi","F","22.4","43","27.3","16.6","13.7","66","0.788","211","0.474","148","0.399","0.525","0.553","10","3.9","1.5","0.9","0.8","1.3","13.8","11.5","15.4","5.7","107.1","112.1"
"","Terry Rozier","Mia","G","29.9","5","29.5","19.3","11.2","5","1","34","0.353","21","0.333","0.409","0.437","10","3.6","5.6","1","0.4","1.4","13.6","15.6","19.2","8","101.4","112.7"
"","Matt Hurt","Mem","F","23.8","1","23.5","12.6","0","2","1","3","0.333","3","0.667","0.667","0.727","10","2","1","0","0","0","12","11","13","4.6","154.8","118"
"","Tari Eason","Hou","F","22.7","22","21.8","20.1","9.6","33","0.636","139","0.504","50","0.36","0.513","0.528","9.8","7","1.2","1.4","0.9","0.9","16.7","11","18","8","110.2","100.3"
"","Nick Richards","Cha","C","26.2","37","25.1","13.2","15.3","107","0.748","199","0.688","0","0","0.688","0.719","9.6","7.8","0.8","0.3","1.4","1","17.3","10.4","18.2","6.2","137.1","112.6"
"","Taurean Prince","Lal","F","29.9","46","30.3","13.2","10.2","39","0.744","123","0.504","246","0.386","0.554","0.567","9.5","2.8","1.7","0.9","0.5","0.9","12.4","11.3","14.1","4.7","107.3","112.1"
"","Tre Jones","San","G","24.1","43","25.7","15.5","15.2","65","0.892","228","0.583","94","0.298","0.543","0.582","9.5","3.1","5.7","1","0.1","1.3","12.6","15.2","18.3","8.6","122.6","118.3"
"","Georges Niang","Cle","F","30.6","45","22.1","17.5","8.8","36","0.861","134","0.56","219","0.365","0.552","0.571","9.4","3.8","1.3","0.2","0.2","0.8","13.1","10.7","14.4","6.5","112.8","104.9"
"","Andrew Nembhard","Ind","G-F","24","34","22","19.5","19.4","33","0.818","197","0.553","76","0.329","0.537","0.556","9.4","1.8","4.7","0.9","0.1","1.9","11.2","14.1","15.9","7.8","110.1","116.6"
"","Ayo Dosunmu","Chi","G","24","47","24.3","16.1","11.7","56","0.804","206","0.573","141","0.383","0.573","0.596","9.4","2.6","2.1","0.8","0.5","1","12","11.6","14.1","6.1","117.6","112.3"
"","Draymond Green","Gol","F","33.9","20","26.5","15.8","25.9","41","0.805","79","0.532","55","0.418","0.571","0.612","9.3","6","6.1","0.8","0.8","2.4","15.3","15.4","21.4","10.5","120.4","107.4"
"","Matt Ryan","Nor","F","26.8","13","22.9","15.1","16.1","14","0.929","15","0.4","68","0.471","0.651","0.679","9.3","2.3","1.1","0.4","0.1","1.2","11.6","10.4","12.7","5","117.9","111.3"
"","Dante Exum","Dal","G","28.6","32","19.7","16.8","11.7","44","0.727","138","0.616","65","0.477","0.648","0.663","9.2","2.8","2.8","0.6","0.2","0.8","12","12.1","14.8","8.5","131.8","113.7"
"","Onyeka Okongwu","Atl","F-C","23.1","46","24.7","13.1","12.5","96","0.813","229","0.659","51","0.294","0.62","0.659","9.2","6.6","1.4","0.5","1","0.9","15.8","10.6","17.2","7.1","133.6","111.2"
"","Dereck Lively II","Dal","C","20","36","26","12.3","17.1","57","0.544","201","0.746","2","0","0.739","0.726","9.2","7.9","1.3","0.6","1.4","1.2","17.1","10.5","18.4","7","135.8","107.3"
"","Brandin Podziemski","Gol","G","20.9","38","24.9","16.4","13.9","38","0.605","177","0.52","126","0.381","0.541","0.549","9.2","5.4","3.2","0.8","0.1","1.3","14.7","12.5","17.9","8.7","115.5","112.7"
"","Kevin Love","Mia","F","35.4","37","17.9","20.7","10.3","90","0.789","76","0.645","167","0.335","0.547","0.596","9.1","6.1","2.3","0.4","0.2","0.8","15.2","11.4","17.6","11.3","124.5","103.7"
"","Dorian Finney-Smith","Bro","F","30.7","42","28.8","13.5","9.1","20","0.7","110","0.473","230","0.383","0.541","0.548","9.1","4.8","1.4","0.8","0.6","0.8","13.9","10.5","15.3","5.5","114.1","113.5"
"","Duop Reath","Por","C","27.6","36","17.6","20.2","9.6","46","0.783","124","0.581","131","0.374","0.571","0.594","9.1","3.9","1.2","0.5","0.5","0.8","13","10.3","14.2","7.9","120.1","105.9"
"","Isaac Okoro","Cle","F","23","36","26.5","13.6","10.9","82","0.683","148","0.568","88","0.375","0.566","0.594","9","3.2","1.9","0.9","0.4","0.8","12.2","10.9","14.1","5.7","122.9","108.4"
"","Simone Fontecchio","Uta","F","28.1","47","23.1","15.5","12.4","38","0.789","117","0.547","222","0.401","0.583","0.597","9","3.4","1.4","0.6","0.4","1","12.5","10.5","13.9","6.1","115.5","115.7"
"","Chris Paul","Gol","G","38.7","32","27.6","14.4","13.4","42","0.833","126","0.484","119","0.361","0.512","0.543","8.9","3.8","7.2","1.1","0.1","1.2","12.7","16.1","19.9","9.1","127.9","114.1"
"","Markelle Fultz","Orl","G","25.7","15","24.8","17.1","12","13","0.462","122","0.525","3","0","0.512","0.513","8.9","3.2","3.7","1.4","0.3","1.1","12.1","12.6","15.8","7.6","111.1","108.6"
"","Moses Moody","Gol","G","21.7","34","17.9","18.7","9.7","57","0.789","116","0.595","106","0.358","0.568","0.601","8.7","3.1","0.8","0.7","0.3","0.7","11.8","9.6","12.6","6.2","120.3","113.6"
"","Isaiah Joe","Okc","G","24.6","47","18.8","17","8.5","38","0.842","77","0.571","224","0.424","0.62","0.637","8.6","2.4","1.1","0.6","0.3","0.6","11","9.7","12.1","6","121.9","111.8"
"","Sam Merrill","Cle","G","27.7","30","16.3","19","4.8","11","0.909","29","0.448","171","0.433","0.62","0.63","8.6","2","1.6","0.3","0","0.3","10.6","10.2","12.2","7.4","130.5","108.7"
"","Scotty Pippen Jr.","Mem","G","23.2","4","19.6","20.4","28.7","14","0.714","15","0.4","7","0.571","0.545","0.604","8.5","3","4","0.8","0.3","2.3","11.5","12.5","15.5","9.5","110.6","108.2"
"","Derrick Rose","Mem","G","35.3","17","17.9","22.5","14.6","21","0.905","95","0.474","33","0.333","0.48","0.517","8.4","1.8","3.4","0.4","0.1","1.3","10.1","11.7","13.5","8.3","106.5","113.7"
"","Walker Kessler","Uta","C","22.5","41","23.3","13.2","14.9","66","0.515","218","0.683","16","0.25","0.662","0.654","8.4","7.4","0.7","0.5","2.7","1","15.8","9.1","16.5","6","123.2","110.9"
"","Jabari Walker","Por","F","21.5","44","21.4","16.5","13.1","105","0.752","192","0.557","87","0.299","0.523","0.57","8.4","6.3","0.9","0.7","0.4","1","14.8","9.3","15.6","6.8","115.2","107.7"
"","Vince Williams Jr.","Mem","G","23.4","36","24.8","13.9","15.5","73","0.795","73","0.534","144","0.389","0.567","0.61","8.4","5.5","2.2","0.8","0.6","1.1","13.9","10.6","16.1","7.5","120","106.1"
"","Bilal Coulibaly","Was","G","19.5","46","26.7","13.9","17.1","83","0.675","183","0.519","122","0.385","0.543","0.567","8.4","4","1.8","0.9","0.8","1.4","12.5","10.2","14.2","5.9","105","116.8"
"","Malaki Branham","San","F","20.7","43","20.8","18.6","13.2","27","0.926","203","0.517","131","0.305","0.494","0.513","8.3","2","2.3","0.4","0.1","1.2","10.3","10.5","12.5","6.5","99.5","118.9"
"","GG Jackson","Mem","F","19.1","15","15.5","19.8","9.5","30","0.733","39","0.513","46","0.457","0.606","0.636","8.3","2.9","0.7","0.4","0.5","0.6","11.2","9","11.9","6.6","121.7","111"
"","Kyle Lowry","Mia","G","37.9","37","28","13.3","17.7","42","0.833","81","0.506","161","0.385","0.554","0.582","8.2","3.5","4","1.1","0.4","1.4","11.6","12.2","15.6","6.9","115.7","108.4"
"","Grant Williams","Dal","F","25.2","44","26.6","13.4","13","48","0.729","99","0.495","202","0.376","0.542","0.56","8.2","3.5","1.8","0.5","0.6","1","11.7","10","13.5","5.6","111.8","111.3"
"","Josh Green","Dal","G","23.2","35","26.8","13.1","14.3","36","0.556","117","0.547","117","0.393","0.568","0.572","8.2","3","2.5","0.7","0.1","1.1","11.2","10.7","13.7","5.9","112.9","114.9"
"","Ausar Thompson","Det","F","21","47","23.5","16.8","15.5","85","0.647","263","0.567","76","0.145","0.488","0.513","8.2","6.6","1.9","0.9","0.9","1.3","14.8","10.1","16.7","8","106.1","109.7"
"","Sam Hauser","Bos","F","26.1","47","21.6","13.8","7.5","13","0.846","42","0.643","255","0.412","0.621","0.628","8.1","3.4","1","0.4","0.3","0.5","11.5","9.1","12.6","5.6","124.6","109.6"
"","David Roddy","Mem","F","22.9","44","23","17.3","12","58","0.707","196","0.474","141","0.305","0.467","0.491","8.1","4.2","1.5","0.5","0.3","1","12.3","9.6","13.7","6.5","99.9","111.6"
"","Kelly Olynyk","Uta","F-C","32.8","47","20.5","15.5","25","82","0.829","163","0.626","80","0.425","0.63","0.67","8","5.1","4.3","0.8","0.3","1.7","13.1","12.3","17.4","10.9","126","106.2"
"","T.J. McConnell","Ind","G","31.9","38","17","21.2","18","44","0.75","238","0.555","17","0.118","0.529","0.552","8","2.6","5.5","1.1","0.1","1.5","10.5","13.4","16","11.4","118.3","116.6"
"","Jaden Hardy","Dal","G","21.6","43","16.1","23.4","9.7","47","0.702","159","0.428","166","0.355","0.482","0.5","8","2.1","1.8","0.3","0.1","0.8","10.1","9.9","12","7.7","103.3","114.6"
"","Andre Drummond","Chi","C","30.5","49","15.9","22","15.7","129","0.558","278","0.561","2","0","0.557","0.57","7.8","8.3","0.6","1.1","0.6","1.1","16.1","8.4","16.7","8.5","116.6","99.4"
"","Landry Shamet","Was","G","26.9","30","15","20.4","8.9","36","0.778","82","0.537","102","0.382","0.557","0.583","7.8","1.3","1.4","0.5","0.2","0.6","9","9.1","10.4","6.5","113.6","114.6"
"","Payton Pritchard","Bos","G","26","48","21","15.4","7.8","34","0.794","105","0.514","212","0.377","0.549","0.565","7.8","3.2","2.9","0.4","0.1","0.6","11","10.8","14","7.9","127","110.3"
"","Al Horford","Bos","C-F","37.7","39","27.1","11.1","11.7","14","0.857","79","0.62","155","0.413","0.62","0.629","7.7","6.8","2.9","0.4","0.9","0.8","14.5","10.6","17.4","7.9","132.3","107.9"
"","Kevin Knox II","Det","F","24.5","29","18.2","16.8","9.9","22","0.909","91","0.604","90","0.344","0.561","0.585","7.7","2.5","0.7","0.4","0.2","0.7","10.2","8.4","10.9","5.2","112.4","116.6"
"","Precious Achiuwa","Tor","F","24.4","25","17.5","21.3","14.6","42","0.571","123","0.528","47","0.277","0.497","0.512","7.7","5.4","1.8","0.6","0.5","1.2","13.2","9.5","14.9","9.6","106.6","108.6"
"","Ziaire Williams","Mem","F","22.4","44","18.8","20.3","15.6","59","0.831","152","0.467","156","0.314","0.469","0.506","7.7","3.4","1.5","0.6","0.2","1.3","11.1","9.1","12.5","7.2","97.2","107.5"
"","Terance Mann","Lac","G-F","27.3","40","25.1","13.1","8.5","44","0.75","138","0.587","121","0.298","0.521","0.544","7.6","3.2","1.8","0.6","0.3","0.6","10.7","9.4","12.6","5.6","119.1","112.3"
"","Naji Marshall","Nor","F","26","39","18.6","17.4","14.9","73","0.781","135","0.504","87","0.379","0.529","0.575","7.5","3.5","1.9","0.7","0.2","1","11","9.4","13","7.9","116.2","108.6"
"","Day'Ron Sharpe","Bro","C","22.2","37","16","19.3","16.1","88","0.614","186","0.591","7","0.143","0.578","0.598","7.5","7","1.4","0.5","0.9","1","14.5","8.9","15.9","10.5","123","101.2"
"","Cedi Osman","San","F","28.8","48","18.2","15.7","9.8","46","0.674","123","0.626","153","0.373","0.589","0.601","7.4","2.6","1.9","0.5","0.1","0.6","10","9.3","11.9","7.3","118","114.6"
"","Josh Hart","Nyk","G","28.9","47","28.7","12.1","15.6","42","0.833","179","0.536","130","0.308","0.505","0.53","7.4","6.7","3","0.7","0.3","1.2","14.1","10.3","17","7.4","113.5","107.6"
"","Cody Martin","Cha","F","28.3","16","26.2","15.9","15.4","23","0.522","73","0.384","48","0.333","0.43","0.442","7.3","3.3","3.1","1.2","0.7","1.4","10.6","10.4","13.7","6.4","95.2","117.9"
"","Quentin Grimes","Nyk","G","23.7","45","20.2","15.1","6.8","34","0.706","74","0.486","212","0.363","0.53","0.543","7.3","2","1.2","0.7","0.1","0.5","9.2","8.4","10.4","5.1","115.2","109.2"
"","Dennis Smith Jr.","Bro","G","26.2","32","19.6","18.1","15.5","36","0.806","152","0.5","60","0.267","0.472","0.503","7.2","3.3","4","1.2","0.2","1.2","10.5","11.2","14.5","9.3","112.2","106.1"
"","Gary Harris","Orl","G","29.4","27","22.8","12.7","8.3","31","0.774","46","0.652","108","0.333","0.545","0.573","7.1","1.7","1.9","0.9","0.2","0.5","8.8","9","10.7","5","120.9","109.4"
"","Christian Wood","Lal","F","28.3","43","18.2","17.3","17.2","84","0.69","131","0.595","99","0.313","0.541","0.575","7.1","5.4","1.1","0.3","0.7","1.1","12.5","8.2","13.6","7.7","106","107.4"
"","Christian Braun","Den","G","22.8","49","18.8","16.7","10.6","82","0.732","194","0.49","91","0.363","0.507","0.543","7.1","3.6","1.4","0.4","0.4","0.7","10.7","8.6","12.1","7","112.6","109.9"
"","Marcus Sasser","Det","G","23.4","42","15.4","19.1","12.9","32","0.906","136","0.522","106","0.406","0.56","0.586","7.1","1.5","2.7","0.5","0.2","0.9","8.7","9.8","11.4","8","117.9","116.7"
"","Craig Porter","Cle","G","23.9","29","15.9","20.3","16.7","46","0.696","143","0.538","21","0.333","0.534","0.562","7.1","2.7","3.1","0.6","0.4","1.1","9.8","10.3","12.9","9.8","115.3","108.1"
"","Danilo Gallinari","Was","F","35.5","26","14.8","18.3","8.4","56","0.839","67","0.552","64","0.313","0.511","0.581","7","2.9","1.2","0.2","0.1","0.5","9.9","8.2","11.1","7.8","119.2","117.6"
"","Royce O'Neale","Bro","F","30.7","46","24.3","13.3","13.9","20","0.65","54","0.481","238","0.361","0.531","0.537","7","4.5","2.9","0.7","0.6","1","11.5","9.9","14.4","7.4","112.2","109.2"
"","Ben Simmons","Bro","G","27.5","7","29.8","11.8","26.7","4","0.25","41","0.585","0","0","0.585","0.573","7","10.4","7.3","0.6","0.9","2.1","17.4","14.3","24.7","10.9","123.8","108.2"
"","Trey Lyles","Sac","F","28.2","32","20.1","13.7","10.4","34","0.618","47","0.596","125","0.384","0.581","0.591","6.9","4.6","1.3","0.2","0.3","0.6","11.5","8.2","12.8","6.9","119.3","111.6"
"","Nickeil Alexander-Walker","Min","F","25.4","48","23","13.4","13.7","33","0.727","93","0.548","184","0.37","0.552","0.566","6.9","1.8","2.6","0.9","0.5","0.9","8.7","9.5","11.3","5.5","114.2","105.7"
"","Killian Hayes","Det","G","22.5","41","23.9","15","15.3","50","0.66","206","0.456","70","0.286","0.449","0.471","6.9","2.8","4.8","0.9","0.5","1.2","9.7","11.6","14.4","7.6","106.4","117.1"
"","Jae Crowder","Mil","F","33.6","17","22.7","11.4","8.2","16","0.563","24","0.542","65","0.415","0.601","0.604","6.8","3.2","1.2","0.6","0.2","0.5","10.1","8.1","11.3","5.2","121.3","113.4"
"","Isaiah Hartenstein","Nyk","C-F","25.7","46","25.2","10.8","20.8","90","0.7","198","0.621","3","0.333","0.619","0.648","6.8","8.4","1.9","1.2","1.1","1.2","15.2","8.7","17.1","7.6","130.8","100.1"
"","Robert Williams III","Por","C-F","26.3","6","19.8","13.2","21","9","0.778","26","0.654","0","0","0.654","0.684","6.8","6.3","0.8","1.2","1.2","1.2","13.2","7.7","14","6.6","121.5","101.2"
"","Isaiah Jackson","Ind","F","22.1","36","13.4","17.4","14.3","66","0.697","146","0.678","3","0","0.664","0.685","6.8","4.1","0.9","0.6","1.2","0.7","10.9","7.6","11.7","8.7","132.3","100.2"
"","Jose Alvarado","Nor","G","25.8","30","16","18.7","11.3","35","0.657","72","0.444","100","0.39","0.526","0.544","6.8","2.1","1.8","1","0.3","0.7","8.9","8.6","10.6","7.4","111.3","106.6"
"","Peyton Watson","Den","G","21.4","47","17.8","16.6","9.7","69","0.696","163","0.552","98","0.316","0.523","0.551","6.8","2.7","1","0.6","0.9","0.6","9.6","7.9","10.6","5.9","111.6","108.3"
"","Trayce Jackson-Davis","Gol","F","23.9","33","14.1","17","14.2","60","0.567","139","0.683","0","0","0.683","0.677","6.8","4.2","1","0.4","0.8","0.7","11","7.8","12","8.7","130.5","108"
"","Marcus Morris Sr.","Phi","F","34.4","35","17","16","8.2","36","0.861","105","0.476","85","0.4","0.532","0.566","6.7","2.9","0.7","0.3","0.3","0.5","9.5","7.4","10.3","5.6","114.9","107.6"
"","Cam Reddish","Lal","F-G","24.4","35","23.3","13.4","12.7","46","0.783","110","0.464","95","0.337","0.483","0.519","6.7","2.4","1.3","1.2","0.3","0.9","9.1","8","10.4","4.7","102.3","111.6"
"","Cason Wallace","Okc","G","20.2","48","21.1","11.9","8.6","24","0.833","118","0.602","126","0.421","0.617","0.63","6.7","2.3","1.4","0.7","0.4","0.5","9","8.1","10.4","5.3","126.5","110.1"
"","Daniel Theis","Lac","F-C","31.8","35","17.6","15.2","12.1","39","0.718","138","0.572","36","0.417","0.583","0.604","6.6","3.7","1","0.5","0.9","0.7","10.3","7.6","11.4","6.6","124","103.4"
"","Toumani Camara","Por","F","23.7","47","23.6","13.8","15.9","67","0.701","162","0.512","118","0.28","0.473","0.504","6.6","4.7","1","1","0.5","1.1","11.4","7.6","12.4","5.3","102.8","109.5"
"","Aaron Holiday","Hou","G","27.3","44","17.2","16","12.4","34","0.912","105","0.505","127","0.394","0.552","0.581","6.5","1.9","1.7","0.5","0.1","0.8","8.4","8.2","10.1","6.4","114.2","108.5"
"","Goga Bitadze","Orl","C-F","24.5","41","19.7","12.7","14.7","68","0.676","169","0.639","10","0.2","0.62","0.641","6.5","6.1","1.6","0.7","1.5","0.8","12.6","8.1","14.2","8.1","131.6","101.8"
"","Amen Thompson","Hou","G-F","21","28","16.4","18.9","19.7","54","0.704","108","0.565","34","0.176","0.493","0.537","6.4","4.3","2.1","1","0.4","1.3","10.7","8.5","12.8","9.4","107.4","99.1"
"","Nick Smith Jr.","Cha","G","19.8","31","15.1","19.2","13.6","4","0.75","88","0.386","90","0.467","0.545","0.548","6.4","1.5","1.1","0.1","0.2","0.9","7.9","7.5","9","5.8","102.6","120.9"
"","Cameron Payne","Mil","G","29.5","44","15","16.4","12.2","40","0.875","85","0.541","124","0.403","0.579","0.611","6.3","1.2","2.3","0.4","0.1","0.7","7.5","8.6","9.8","6.9","123.7","111"
"","Jonathan Isaac","Orl","F","26.3","30","14.1","18.2","8.8","48","0.771","87","0.598","57","0.281","0.528","0.572","6.3","3.8","0.4","0.7","1.1","0.5","10.1","6.7","10.5","6","117.6","104.1"
"","Skylar Mays","Por","G","26.4","21","17","19.4","11.5","17","0.765","89","0.438","49","0.286","0.435","0.457","6.3","1.8","3.6","0.7","0.1","0.9","8.1","9.9","11.7","8.1","106.4","116.6"
"","Monte Morris","Det","G","28.6","4","12.3","23","7.6","2","0.5","17","0.529","7","0.286","0.5","0.502","6.3","1.8","1.8","0.3","0.3","0.5","8","8","9.8","8.9","105.1","123.1"
"","Kyle Anderson","Min","F-G","30.4","48","22.2","14.6","19.9","92","0.674","220","0.5","29","0.172","0.472","0.513","6.2","3.5","3.9","0.8","0.6","1.3","9.7","10.1","13.6","7.9","111.4","105.5"
"","Mitchell Robinson","Nyk","C","25.8","21","29.2","9.5","18.3","38","0.368","98","0.592","0","0","0.592","0.567","6.2","10.3","0.7","1.5","1.3","1","16.5","6.9","17.2","4.9","123.9","106.3"
"","Paul Reed","Phi","F","24.6","46","16","15.7","13.7","37","0.703","195","0.585","26","0.385","0.584","0.598","6.2","4.9","1.2","0.7","0.7","0.8","11","7.3","12.2","8.3","122.9","100.2"
"","Bones Hyland","Lac","G","23.4","19","13.2","25.6","16","12","0.833","56","0.429","64","0.313","0.45","0.471","6.2","0.9","1.7","0.5","0.1","1.2","7.1","7.9","8.8","6.4","93.3","108.3"
"","Jeff Green","Hou","F","37.4","45","16.6","14.5","13.8","94","0.83","124","0.597","57","0.281","0.541","0.616","6.1","2","0.7","0.2","0.5","0.6","8.1","6.8","8.8","4.9","119.8","110"
"","Mason Plumlee","Lac","F-C","33.9","16","17.5","12.9","13.6","39","0.615","57","0.649","0","0","0.649","0.661","6.1","5.6","1.1","0.3","0.4","0.6","11.8","7.3","12.9","7.7","135.1","107.2"
"","Chris Boucher","Tor","F-C","31.1","44","14","17.1","9.8","77","0.753","107","0.598","86","0.326","0.549","0.595","6.1","4","0.4","0.3","0.4","0.5","10.2","6.5","10.6","6.1","120.6","108.7"
"","Torrey Craig","Chi","F","33.1","27","21.2","12.7","10.3","23","0.783","63","0.476","76","0.382","0.529","0.553","6.1","4.8","1","0.6","0.4","0.6","10.9","7.1","12","5.8","119.2","106"
"","Haywood Highsmith","Mia","F","27.1","34","21.2","12.5","11.9","24","0.792","70","0.5","100","0.39","0.55","0.57","6.1","2.9","1.2","0.9","0.5","0.7","9","7.3","10.2","5.2","113.2","107.7"
"","Nicolas Batum","Phi","G-F","35.1","31","25.5","8.2","13.6","14","0.643","37","0.676","90","0.467","0.693","0.695","6","4","2.4","0.6","0.7","0.6","10","8.3","12.3","6.1","139.9","110.4"
"","Patrick Beverley","Phi","G","35.6","43","19.5","14.4","16","59","0.797","116","0.517","99","0.303","0.488","0.533","6","3.1","2.9","0.6","0.4","1","9","8.8","11.9","7.8","114.2","108.2"
"","Doug McDermott","San","F","32.1","43","15.3","14.9","10.6","17","0.588","40","0.45","162","0.438","0.616","0.618","6","1","1.3","0.2","0","0.6","7.1","7.3","8.3","5.2","115.1","119.1"
"","James Wiseman","Det","C","22.8","29","14.6","15.3","18","34","0.618","112","0.688","2","0","0.675","0.679","6","4.1","0.6","0.1","0.7","0.9","10.2","6.7","10.8","6.7","121.4","109.9"
"","Xavier Tillman","Mem","C","25.1","34","20.6","16","12","43","0.419","160","0.469","53","0.226","0.437","0.44","6","4.6","1.7","1.2","1","0.9","10.6","7.7","12.3","7","98.1","106.3"
"","Julian Champagnie","San","F","22.6","41","16","15.2","13.2","38","0.842","51","0.431","140","0.393","0.547","0.58","5.9","2.2","1","0.6","0.5","0.7","8.1","6.9","9.1","5.9","109","116.2"
