"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nikola Vucevic","Chi","C","33.3","44","33.9","22.8","9","65","0.862","500","0.546","178","0.27","0.509","0.528","17","10.5","3.5","0.7","0.8","1.5","27.5","20.5","31","10.1","112.1","108.9"
"","Fred VanVleet","Hou","G","29.9","45","37.1","19.3","10.5","141","0.858","264","0.455","351","0.373","0.515","0.557","16.8","3.8","8.4","1.1","0.9","1.6","20.6","25.2","29","8.8","122.4","111.5"
"","Keldon Johnson","San","F","24.3","45","30.6","22.8","10.9","163","0.779","368","0.524","234","0.338","0.517","0.557","16.7","5.9","3.3","0.9","0.3","1.6","22.6","19.9","25.8","9","111.3","114.5"
"","Immanuel Quickley","Tor","G","24.6","12","31.8","22.1","9.4","40","0.85","91","0.385","72","0.444","0.509","0.554","16.7","4.6","6.1","0.8","0.2","1.4","21.3","22.8","27.3","9.8","118.8","114.3"
"","Chet Holmgren","Okc","C","21.8","48","30.1","21.6","12.4","152","0.77","373","0.614","199","0.382","0.6","0.628","16.7","7.6","2.7","0.6","2.6","1.7","24.3","19.5","27.1","9.3","121.2","106.5"
"","Jordan Poole","Was","G","24.6","45","29.2","25.7","13.3","139","0.871","361","0.493","282","0.312","0.482","0.526","16.5","2.2","3.4","1","0.4","2.2","18.7","19.8","22","6.8","100.7","116"
"","Keegan Murray","Sac","F","23.5","42","33","19","6.3","77","0.792","271","0.568","277","0.372","0.563","0.583","16.1","5.5","1.6","1.2","0.6","0.9","21.6","17.8","23.3","6.3","117.6","111.3"
"","Michael Porter Jr.","Den","F","25.6","49","31.5","20","7.5","61","0.77","299","0.562","333","0.396","0.579","0.591","15.9","7.1","1.3","0.5","0.7","1","23","17.2","24.3","6.7","116","111.2"
"","Shaedon Sharpe","Por","G","20.7","32","33.1","22.3","14.2","119","0.824","254","0.457","180","0.333","0.475","0.524","15.9","5","2.9","0.9","0.4","2.3","20.9","18.9","23.9","7.4","104.5","113.4"
"","Malcolm Brogdon","Por","G","31.1","38","28.6","23.1","11","113","0.832","286","0.458","197","0.416","0.526","0.565","15.8","3.7","5.5","0.7","0.2","1.6","19.5","21.3","25","9.6","119.6","117.1"
